"filename", "language", "Java", "Markdown", "SQL", "comment", "blank", "total"
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\DataManagingClasses\DatabaseManager.java", "Java", 68, 0, 0, 35, 37, 140
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\DataManagingClasses\DatesVisitedManager.java", "Java", 10, 0, 0, 0, 6, 16
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\DatabaseClasses\DatabaseManager.java", "Java", -57, 0, 0, -28, -31, -116
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\JavaFXTest.java", "Java", 4, 0, 0, 0, 4, 8
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\Main.java", "Java", 78, 0, 0, 38, 47, 163
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\TestClass.java", "Java", 0, 0, 0, 0, 3, 3
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\UtilityClasses\Enums\Sex.java", "Java", 5, 0, 0, 5, 4, 14
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\UtilityClasses\Exceptions\InvalidInputException.java", "Java", 7, 0, 0, 0, 6, 13
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\UtilityClasses\Exceptions\PatientNotFoundException.java", "Java", 7, 0, 0, 5, 5, 17
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\UtilityClasses\General\Date.java", "Java", 7, 0, 0, 5, 2, 14
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\UtilityClasses\General\DateDifference.java", "Java", 0, 0, 0, 2, 0, 2
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\UtilityClasses\General\Patient.java", "Java", 23, 0, 0, 69, 11, 103
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalProgramSQLFiles\CreatingTestDatabase.sql", "SQL", 0, 0, -13, 0, -4, -17
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\README.md", "Markdown", 0, -2, 0, 0, -1, -3
"Total", "-", 152, -2, -13, 131, 89, 357
