"filename", "language", "Java", "SQL", "Markdown", "comment", "blank", "total"
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\DataManagingClasses\DatabaseManager.java", "Java", 57, 0, 0, 42, 39, 138
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\DataManagingClasses\DatesVisitedManager.java", "Java", -10, 0, 0, 0, -6, -16
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\Main.java", "Java", 35, 0, 0, 40, 13, 88
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\TestClass.java", "Java", 2, 0, 0, 0, -1, 1
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\UtilityClasses\Enums\Sex.java", "Java", 19, 0, 0, 8, 6, 33
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\UtilityClasses\Exceptions\InvalidInputException.java", "Java", 0, 0, 0, 5, 0, 5
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\UtilityClasses\Exceptions\LoadInException.java", "Java", 7, 0, 0, 5, 7, 19
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\UtilityClasses\General\Date.java", "Java", 0, 0, 0, 5, 0, 5
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\UtilityClasses\General\Patient.java", "Java", 9, 0, 0, 5, 9, 23
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalProgramSQLFiles\CreatingTestDatabase.sql", "SQL", 0, 13, 0, 0, 4, 17
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalProgramSQLFiles\DatabaseEdits.sql", "SQL", 0, 28, 0, 0, 22, 50
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\README.md", "Markdown", 0, 0, 2, 0, 1, 3
"Total", "-", 119, 41, 2, 110, 94, 366
