"filename", "language", "Java", "SQL", "Markdown", "comment", "blank", "total"
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\DataManagingClasses\DatabaseManager.java", "Java", 125, 0, 0, 77, 76, 278
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\JavaFXTest.java", "Java", 4, 0, 0, 0, 4, 8
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\Main.java", "Java", 220, 0, 0, 91, 106, 417
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\TestClass.java", "Java", 18, 0, 0, 0, 13, 31
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\UtilityClasses\Enums\BloodType.java", "Java", 66, 0, 0, 0, 16, 82
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\UtilityClasses\Enums\MaritalStatus.java", "Java", 38, 0, 0, 7, 9, 54
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\UtilityClasses\Enums\Sex.java", "Java", 24, 0, 0, 13, 10, 47
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\UtilityClasses\Exceptions\InvalidInputException.java", "Java", 7, 0, 0, 5, 6, 18
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\UtilityClasses\Exceptions\LoadInException.java", "Java", 7, 0, 0, 5, 7, 19
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\UtilityClasses\Exceptions\PatientNotFoundException.java", "Java", 7, 0, 0, 5, 5, 17
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\UtilityClasses\General\Date.java", "Java", 278, 0, 0, 37, 108, 423
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\UtilityClasses\General\DateDifference.java", "Java", 27, 0, 0, 15, 16, 58
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalManager\src\UtilityClasses\General\Patient.java", "Java", 170, 0, 0, 137, 117, 424
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalProgramSQLFiles\CreatingTestDatabase.sql", "SQL", 0, 13, 0, 0, 4, 17
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\HospitalProgramSQLFiles\DatabaseEdits.sql", "SQL", 0, 28, 0, 0, 22, 50
"c:\Users\Vahe Ohihoin\Desktop\Robotics\Personal Java Projects\HospitalProgram\README.md", "Markdown", 0, 0, 2, 0, 1, 3
"Total", "-", 991, 41, 2, 392, 520, 1946
